     MetID    Y  M  D      TAM      NNM      UUM      FFM       RR
    888011 2009  6  9      5.8      7.0     75.0      1.7     10.7
    888011 2009  6 10      6.9      7.2     75.7      1.7      4.1
    888011 2009  6 11      6.2      5.6     74.6      2.0      8.5
    888011 2009  6 12      7.6      7.0     72.4      2.7      0.3
    888011 2009  6 13      7.7      4.6     62.4      2.6      1.2
    888011 2009  6 14      7.7      5.0     61.7      2.4      0.8
    888011 2009  6 15      7.3      4.9     57.3      2.8      0.0
    888011 2009  6 16      6.7      3.7     59.8      2.6      0.8
    888011 2009  6 17      7.4      4.6     60.1      2.1      0.5
    888011 2009  6 18      6.1      6.8     79.8      2.3     22.8
    888011 2009  6 19      7.2      6.4     75.5      2.0      8.4
    888011 2009  6 20      8.4      6.2     72.1      2.3      1.3
    888011 2009  6 21      9.8      4.2     66.9      1.9      0.7
    888011 2009  6 22     10.1      5.1     64.3      2.1      0.7
    888011 2009  6 23     10.8      4.9     66.9      1.4      0.0
    888011 2009  6 24     13.6      0.7     60.5      1.6      0.0
    888011 2009  6 25     15.8      2.2     55.5      1.7      0.8
    888011 2009  6 26     16.3      5.1     50.5      2.2      0.2
    888011 2009  6 27     16.5      3.9     53.4      1.8      0.9
    888011 2009  6 28     16.2      5.0     55.9      1.6      0.8
    888011 2009  6 29     15.8      6.3     58.7      1.6      0.9
    888011 2009  6 30     13.8      6.9     73.1      1.2      0.7
    888011 2009  7  1     16.9      3.1     65.4      1.6      0.8
    888011 2009  7  2     17.8      2.8     61.8      1.6      0.9
    888011 2009  7  3     18.9      1.2     58.6      1.6      0.9
    888011 2009  7  4     18.6      0.9     60.0      2.0      0.9
    888011 2009  7  5     16.0      6.6     69.3      2.3      1.0
    888011 2009  7  6     14.0      7.2     73.3      1.5      0.3
    888011 2009  7  7     11.8      7.0     81.7      1.3      2.8
    888011 2009  7  8     11.7      6.8     73.5      2.1     10.8
    888011 2009  7  9     12.4      6.8     69.8      1.9      3.3
    888011 2009  7 10     12.9      4.2     60.2      2.0      1.0
    888011 2009  7 11     12.7      4.9     69.3      1.8      0.8
    888011 2009  7 12     12.0      6.9     77.3      1.7      1.8
    888011 2009  7 13     11.8      7.2     77.8      1.9      9.1
    888011 2009  7 14     12.6      5.4     70.1      1.7      5.4
    888011 2009  7 15     11.9      6.9     76.3      1.7      2.9
    888011 2009  7 16     10.7      6.5     83.2      1.5      6.5
    888011 2009  7 17     13.7      6.7     69.2      1.4     11.7
    888011 2009  7 18     12.0      7.7     77.9      2.7      1.8
    888011 2009  7 19     11.3      7.5     85.0      1.7     18.8
    888011 2009  7 20     10.0      7.0     83.1      1.8      6.8
    888011 2009  7 21      9.2      7.3     82.7      2.5      4.4
    888011 2009  7 22     10.1      6.9     77.6      1.8      3.8
    888011 2009  7 23     10.2      7.4     85.0      1.8      2.1
    888011 2009  7 24     10.3      7.1     84.4      1.4      7.7
    888011 2009  7 25     10.1      6.9     79.7      2.5      3.1
    888011 2009  7 26     10.4      7.1     72.2      2.5      0.3
    888011 2009  7 27      9.5      7.6     80.1      1.3      0.2
    888011 2009  7 28      9.4      6.4     82.4      1.5      8.7
    888011 2009  7 29      9.2      7.7     81.7      2.1     10.1
    888011 2009  7 30     10.5      7.8     78.4      2.7      1.6
    888011 2009  7 31      9.5      6.8     81.8      2.6      4.0
    888011 2009  8  1      9.4      6.6     71.6      1.3      5.1
    888011 2009  8  2     10.4      7.5     74.2      2.1      0.0
    888011 2009  8  3     12.4      6.3     80.7      1.6      7.0
    888011 2009  8  4     13.7      4.8     77.6      1.5      5.4
    888011 2009  8  5     12.4      6.3     79.4      1.5      0.4
    888011 2009  8  6     13.4      6.9     80.8      1.1      3.1
    888011 2009  8  7     14.1      6.2     75.6      1.4      0.3
    888011 2009  8  8     12.7      7.4     81.3      1.8      1.4
    888011 2009  8  9     14.1      6.0     75.9      1.5      5.3
    888011 2009  8 10     12.1      7.1     74.6      1.6      0.2
    888011 2009  8 11     11.1      6.8     76.9      2.5      0.9
    888011 2009  8 12      9.1      7.1     81.0      1.3      0.7
    888011 2009  8 13      8.9      5.7     73.4      2.8      8.1
    888011 2009  8 14      7.7      6.5     74.5      1.8      2.3
    888011 2009  8 15      7.3      7.8     87.8      2.4      1.2
    888011 2009  8 16      8.9      7.7     88.3      2.6     74.5
    888011 2009  8 17      8.9      6.8     82.3      2.4     31.6
    888011 2009  8 18      8.3      5.5     73.5      1.8      8.8
    888011 2009  8 19      8.6      7.4     79.5      2.0      0.1
    888011 2009  8 20     15.2      6.9     69.4      3.6      0.0
    888011 2009  8 21     11.4      6.3     75.6      2.2     32.0
    888011 2009  8 22      8.1      6.6     81.1      1.4     12.3
    888011 2009  8 23      9.1      6.7     77.9      1.6      9.4
    888011 2009  8 24     11.6      7.3     72.7      3.2      4.9
    888011 2009  8 25     12.7      7.3     70.3      3.0      0.1
    888011 2009  8 26      9.8      6.2     78.0      1.3      5.2
    888011 2009  8 27      9.7      7.6     87.4      2.0      2.7
